cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
271,0.0005807787004648134,103,0.0011324834314818974,86,0,0,0,1.949776141861658,172,0.0
272,0.00018661086113295642,28,0.00014275001237166774,23,0,0,0,0.765086784479798,47,0.0
273,9.330543056647821e-05,4,7.423000643326722e-05,3,0,0,0,0.7957782109934745,5,0.0
274,0.0002475450198702483,38,0.00021698001880493496,35,0,0,0,0.8765773643203985,70,0.0
275,7.807189088215524e-05,5,0.00010087667540931187,8,0,0,0,1.291726146953961,11,0.0
276,0.0007045512103999376,117,0.0006585533904079605,124,7,4,5,0.9347225700983751,221,0.02262443438914027
277,0.0007235931350053412,115,0.0007423000643326722,118,10,5,7,1.0258492562972743,221,0.03167420814479638
278,7.045512103999376e-05,3,7.613333993155613e-05,5,0,0,0,1.0804791885814171,7,0.0
279,6.283835119783227e-05,2,9.707000841273406e-05,5,0,0,0,1.5438918650299944,6,0.0
280,6.664673611891302e-05,3,6.0906671945244904e-05,1,0,0,0,0.9140023241969185,3,0.0
281,8.75928531848571e-05,5,0.00010468334240588968,4,0,0,0,1.1948903314276447,5,0.0
282,7.42635059610745e-05,5,9.897334191102296e-05,3,0,0,0,1.3322844402048877,7,0.0
